id,Title,Content,"Post Type",Permalink
2,"Latest Articles","This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:
<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my website. I live in Los Angeles, have a great dog named Jack, and I like piña coladas. (And gettin' caught in the rain.)</blockquote>
...or something like this:
<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote>
As a new WordPress user, you should go to <a href=""http://codingbee.net/wp-admin/"">your dashboard</a> to delete this page and create new pages for your content. Have fun!",page,http://codingbee.net/sample-page
1012,About,"The website is founded and maintained by <a href=""https://uk.linkedin.com/in/sherchowdhury"">Sher Chowdhury</a>.",page,http://codingbee.net/about
1017,Contact,,page,http://codingbee.net/contact
